Obs	Budlight	BlueMoon	Guiness	Dos Equis	Shiner
1	3	3	1.5	3	4.5
2	1.5	4.5	4.5	1	3
3	1.8	4	3	3.5	3
4	1	5	1	5	2
5	2	1	0	4	1
6	2.5	1.5	1.8	1.7	0.5
7	5	4	0.8	1	2
8	3	1	0.5	3	3
9	2.99	0	0	5	2
10	1	2.5	1.5	0	2
11	3.5	2.5	3.5	2.7	0.8
12	2.6	3.9	4.1	2.2	3.8
13	1.2	3.5	3.5	1.8	4.1
14	1	3	2	3	3
15	1.8	4.2	2.3	3.8	3
16	2	3	1	3.5	2.5
17	1.5	3.8	1.7	3.2	2.8
18	0.2	1.5	4.4	1.5	4.1
19	2	4	0	3	4.5
20	3	5	2	3	4
21	3	2	3.3	2.9	3.2
22	1	5	4.5	3.75	2
23	1	3.5	4	3	3.1
24	3.7	4.2	2.1	3.2	3.4
25	5	3.6	2	4	4
26	1.5	3	2	3.5	4.5
27	1	2	3	2	3
28	5	5	4	5	5
29	3	0	0	5	5
30	2.7	4.1	3.4	1.8	3.9
31	1.2	4.1	2.7	3.3	2.7
32	0.7	2.9	3.5	1	3.5
33	3.3	3	3.2	3	3.1
34	2.2	4.2	1.3	3.3	2.8
35	2.7	3.8	0.7	3.5	3.5
36	1	4	1	3	3
37	1.8	3.6	1.5	3.8	2.9
